edad	proportion
0	0.053602248
1	0.044437455
2	0.036605089
3	0.030063784
4	0.024772171
5	0.020693207
6	0.017785524
7	0.015994787
8	0.015245045
9	0.015395507
10	0.016236216
11	0.017496697
12	0.018880536
13	0.020164809
14	0.02134273
15	0.022701791
16	0.024131207
17	0.025150976
18	0.025582637
19	0.025536518
20	0.025357665
21	0.025140704
22	0.024651285
23	0.023870135
24	0.022870373
25	0.021708364
26	0.02052364
27	0.019445726
28	0.018564107
29	0.017827741
30	0.017107221
31	0.016331269
32	0.015551512
33	0.014757407
34	0.013959828
35	0.013179248
36	0.012431455
37	0.011715934
38	0.011038867
39	0.010398821
40	0.009779109
41	0.009185764
42	0.008642898
43	0.008158202
44	0.007720143
45	0.007317844
46	0.006928151
47	0.006532931
48	0.006119025
49	0.00569728
50	0.005286513
51	0.004905234
52	0.004556571
53	0.004247858
54	0.003972752
55	0.003717967
56	0.003474657
57	0.003245226
58	0.00302684
59	0.002820022
60	0.002628484
61	0.002452204
62	0.002286854
63	0.002131155
64	0.001985767
65	0.001848963
66	0.001724373
67	0.001617529
68	0.001530711
69	0.001459492
70	0.001399677
71	0.001342779
72	0.001282053
73	0.001212501
74	0.001137512
75	0.001062775
76	0.000994735
77	0.000934964
78	0.00088593
79	0.00084442
80	0.000807216
81	0.000767833
82	0.000721482
83	0.000664602
84	0.000600341
85	0.000536025
86	0.000475431
87	0.000416013
88	0.000358711
89	0.000304251
