edad	proportion
0	0.068848855
1	0.068606278
2	0.065032808
3	0.063330128
4	0.064372861
5	0.061379005
6	0.056405893
7	0.05815276
8	0.067504357
9	0.066305382
10	0.071194513
11	0.075521389
12	0.07963419
13	0.080838796
14	0.081650813
15	0.083606737
16	0.089838803
17	0.096576953
18	0.126042649
19	0.117650338
20	0.123063681
21	0.11920497
22	0.125894217
23	0.13463867
24	0.134930309
25	0.139941764
26	0.12993835
27	0.118602616
28	0.108282607
29	0.097830394
30	0.086673778
31	0.078461786
32	0.070325571
33	0.061211993
34	0.056948165
35	0.051490951
36	0.049025156
37	0.047234091
38	0.044169861
39	0.042101965
40	0.041040665
41	0.042071789
42	0.039756968
43	0.039540239
44	0.04022083
45	0.039616337
46	0.039058741
47	0.037278318
48	0.039627377
49	0.041651498
50	0.041666752
51	0.039757693
52	0.041380195
53	0.042047389
54	0.0413023
55	0.04315717
56	0.042856791
57	0.047198707
58	0.044411097
59	0.047942165
60	0.052647987
61	0.055471726
62	0.062443827
63	0.062626797
64	0.060926553
65	0.075265243
66	0.064698432
67	0.056598943
68	0.055062629
69	0.047042374
70	0.047198533
71	0.041413454
72	0.04370119
73	0.036092747
74	0.033355455
75	0.031049285
76	0.030002535
77	0.028946079
78	0.023670481
79	0.025183512
80	0.029519997
81	0.024328228
82	0.022826544
83	0.026431415
84	0.021086812
85	0.024114396
86	0.017461097
87	0.033066534
88	0.012682539
89	0.01738544
90	0.022499191
